key,fr
"account.accountArea","Espace de compte"
"account.active","Actif"
"account.address","Adresse"
"account.confirmDeleteAddress","Supprimer ""{address}"" ?"
"account.confirmRevokeSession","Terminer cette session ?"
"account.domain","Domaine"
"account.flashAddressDeleted","Adresse supprimée"
"account.flashAddressRenewed","Adresse renouvelée"
"account.flashAddressUpdated","Adresse mise à jour"
"account.flashAvatarUpdated","Photo de profil mise à jour"
"account.flashCodeReady","Code de vérification prêt"
"account.flashCodeRequired","Code de vérification requis"
"account.flashEmailRequired","E-mail requis"
"account.flashEmailUnchanged","E-mail inchangé"
"account.flashEmailUpdated","E-mail mis à jour"
"account.flashFavAdded","Domaine favori ajouté"
"account.flashFavRemoved","Domaine favori supprimé"
"account.flashPasswordChanged","Mot de passe modifié"
"account.flashPasswordFields","Remplissez tous les champs de mot de passe"
"account.flashPasswordMismatch","Les nouveaux mots de passe ne correspondent pas"
"account.flashPrefsUpdated","Préférences mises à jour"
"account.flashProfileUpdated","Profil mis à jour"
"account.flashSessionRevoked","Session terminée"
"account.flashUsernameLocked","Le nom d'utilisateur ne peut être modifié qu'une seule fois"
"account.flashUsernameRequired","Le nom d'utilisateur est requis"
"account.guestDescription","Vous pouvez utiliser l'application sans vous connecter. Créez un compte pour accéder au profil, à la sécurité et aux préférences."
"account.guestTitle","Utilisateur invité"
"account.logout","Déconnexion"
"account.mail","Courrier"
"account.noHistory","Aucun historique d'adresse pour le moment."
"account.noPassworded","Aucun e-mail protégé par mot de passe."
"account.open","Ouvrir"
"account.passwordedList","Tous les e-mails protégés par mot de passe"
"account.passwordedListHint","Adresses ouvertes avec un mot de passe"
"account.plan","Formule"
"account.ready","Prêt"
"account.recentUsed","Récent"
"account.recentUsedHint","Vos dernières adresses ouvertes"
"account.settings","Paramètres"
"account.subtitle","Statut rapide, utilisation et activité récente"
"account.title","Résumé du compte"
"account.usage","Utilisation"
"accountModal.accountNote","Note de compte"
"accountModal.active","Actif"
"accountModal.addressLimit","Limite d'adresses"
"accountModal.adminUnlimited","Les autorisations administrateur semblent illimitées."
"accountModal.allPasswordedEmails","Tous les e-mails protégés par mot de passe"
"accountModal.allPasswordedEmpty","Aucun e-mail protégé par mot de passe trouvé."
"accountModal.appearance","Apparence"
"accountModal.billingUnit","Unité de facturation"
"accountModal.changePassword","Changer le mot de passe"
"accountModal.changePasswordNote","Les changements de mot de passe sont gérés depuis cette fenêtre."
"accountModal.close","Fermer"
"accountModal.cooldownActive","Refroidissement actif"
"accountModal.currentPassword","Mot de passe actuel"
"accountModal.currentSession","Cette session"
"accountModal.defaultDomain","Domaine par défaut"
"accountModal.displayName","Nom affiché"
"accountModal.editable","Modifiable"
"accountModal.email","E-mail"
"accountModal.emailChange","Changement d'e-mail"
"accountModal.emailVerifyNote","Le changement d'e-mail nécessite un code de vérification."
"accountModal.expiring","Adresses expirant"
"accountModal.expiringDesc","Recevez un rappel pour les adresses sur le point de se fermer."
"accountModal.favoriteAddress","Adresse favorite"
"accountModal.favoriteDomains","Domaines favoris"
"accountModal.generalSubtitle","Modifiez rapidement les paramètres les plus utilisés dans cette fenêtre."
"accountModal.generalTitle","Apparence et valeurs par défaut"
"accountModal.language","Langue"
"accountModal.lastActive","Dernière activité"
"accountModal.limitsTitle","Utilisation et formule"
"accountModal.locked","Verrouillé"
"accountModal.loginFail","Échec"
"accountModal.loginHistory","Historique de connexion"
"accountModal.loginSuccess","Succès"
"accountModal.mailCount","Nombre de courriers"
"accountModal.mailRetention","Période de rétention du courrier"
"accountModal.newMail","Alertes de nouveau courrier"
"accountModal.newMailDesc","Me notifier quand un nouveau message arrive."
"accountModal.newPassword","Nouveau mot de passe"
"accountModal.newPasswordRepeat","Répéter le nouveau mot de passe"
"accountModal.noDomains","Aucun domaine."
"accountModal.noLoginHistory","Aucun historique de connexion trouvé."
"accountModal.noSessions","Aucune session active trouvée."
"accountModal.notificationPrefs","Préférences de notification"
"accountModal.notificationSound","Son de notification"
"accountModal.notifications","Préférences de notification"
"accountModal.otp","Alertes OTP"
"accountModal.otpNotification","Alertes OTP"
"accountModal.otpNotificationDesc","Afficher des alertes spéciales pour les codes à usage unique."
"accountModal.packageLimits","Les limites sont affichées par forfait."
"accountModal.pendingEmail","E-mail en attente"
"accountModal.planTitle","Formule"
"accountModal.preview","Aperçu"
"accountModal.profilePhoto","Téléverser une photo"
"accountModal.profileSave","Enregistrer le profil"
"accountModal.profileTitle","Détails du compte"
"accountModal.quickSave","Enregistrer"
"accountModal.quickStatus","Statut rapide"
"accountModal.quotaUsed","quota d'adresses utilisé"
"accountModal.ready","Prêt"
"accountModal.refresh","Actualiser"
"accountModal.reset","Réinitialiser"
"accountModal.retention","Rétention du courrier"
"accountModal.retentionAndSound","Rétention et son"
"accountModal.securityAlerts","Alertes de sécurité"
"accountModal.securityAlertsDesc","Me notifier les connexions suspectes."
"accountModal.securityStatus","Statut de sécurité"
"accountModal.selectOption","Sélectionner"
"accountModal.sessionsCloseNote","onglet pour fermer les connexions."
"accountModal.sessionsHint","Vous pouvez fermer les appareils ouverts ici."
"accountModal.sessionsTitle","Sessions actives"
"accountModal.statAddress","Adresse"
"accountModal.statFavoriteDomain","Domaine favori"
"accountModal.statMail","Courrier"
"accountModal.subtitle","Centre d'édition"
"accountModal.suspicious","Suspect"
"accountModal.tabs.general","Général"
"accountModal.tabs.preferences","Préférences"
"accountModal.tabs.profile","Profil"
"accountModal.tabs.security","Sécurité"
"accountModal.tabs.sessions","Sessions"
"accountModal.tabs.usage","Utilisation"
"accountModal.tabsSubtitle.general","Apparence et paramètres principaux"
