key,tr
"account.accountArea","Hesap Alanı"
"account.active","Aktif"
"account.address","Adres"
"account.confirmDeleteAddress","""{address}"" silinsin mi?"
"account.confirmRevokeSession","Bu oturum sonlandırılsın mı?"
"account.domain","Alan Adı"
"account.flashAddressDeleted","Adres silindi"
"account.flashAddressRenewed","Adres süresi yenilendi"
"account.flashAddressUpdated","Adres güncellendi"
"account.flashAvatarUpdated","Profil fotoğrafı güncellendi"
"account.flashCodeReady","Doğrulama kodu hazır"
"account.flashCodeRequired","Doğrulama kodu gerekli"
"account.flashEmailRequired","E-posta gerekli"
"account.flashEmailUnchanged","E-posta değişmedi"
"account.flashEmailUpdated","E-posta güncellendi"
"account.flashFavAdded","Favori domain eklendi"
"account.flashFavRemoved","Favori domain kaldırıldı"
"account.flashPasswordChanged","Şifre değiştirildi"
"account.flashPasswordFields","Şifre alanlarını doldurun"
"account.flashPasswordMismatch","Yeni şifreler eşleşmiyor"
"account.flashPrefsUpdated","Tercihler güncellendi"
"account.flashProfileUpdated","Profil güncellendi"
"account.flashSessionRevoked","Oturum kapatıldı"
"account.flashUsernameLocked","Kullanıcı adı sadece bir kez değiştirilebilir"
"account.flashUsernameRequired","Kullanıcı adı gerekli"
"account.guestDescription","Giriş yapmadan kullanabilirsiniz. Hesap açtığınızda profil, güvenlik ve tercih merkezine erişirsiniz."
"account.guestTitle","Misafir Kullanıcı"
"account.logout","Çıkış"
"account.mail","Mail"
"account.noHistory","Henüz adres geçmişi yok."
"account.noPassworded","Şifreli e-posta bulunmuyor."
"account.open","Açık"
"account.passwordedList","Tüm Şifreli E-Postalar"
"account.passwordedListHint","Şifreli açılan adresler"
"account.plan","Plan"
"account.ready","Hazır"
"account.recentUsed","Son Kullanılanlar"
"account.recentUsedHint","En son açtığın adresler"
"account.settings","Ayarlar"
"account.subtitle","Kısa durum, kullanım ve son hareketler"
"account.title","Hesap Özeti"
"account.usage","Kullanım"
"accountModal.accountNote","Hesap notu"
"accountModal.active","Aktif"
"accountModal.addressLimit","Adres limiti"
"accountModal.adminUnlimited","Admin yetkileri sınırsız görünür."
"accountModal.allPasswordedEmails","Tüm Şifreli E-Postalar"
"accountModal.allPasswordedEmpty","Şifreli e-posta bulunmuyor."
"accountModal.appearance","Görünüm"
"accountModal.billingUnit","Faturalama birimi"
"accountModal.changePassword","Şifre değiştir"
"accountModal.changePasswordNote","Şifre değişimi bu pencereden yapılır."
"accountModal.close","Kapat"
"accountModal.cooldownActive","Bekleme aktif"
"accountModal.currentPassword","Mevcut şifre"
"accountModal.currentSession","Bu oturum"
