key,de
"account.accountArea","Kontobereich"
"account.active","Aktiv"
"account.address","Adresse"
"account.confirmDeleteAddress","""{address}"" löschen?"
"account.confirmRevokeSession","Diese Sitzung beenden?"
"account.domain","Domain"
"account.flashAddressDeleted","Adresse gelöscht"
"account.flashAddressRenewed","Adresse verlängert"
"account.flashAddressUpdated","Adresse aktualisiert"
"account.flashAvatarUpdated","Profilfoto aktualisiert"
"account.flashCodeReady","Verifizierungscode bereit"
"account.flashCodeRequired","Verifizierungscode erforderlich"
"account.flashEmailRequired","E-Mail erforderlich"
"account.flashEmailUnchanged","E-Mail unverändert"
"account.flashEmailUpdated","E-Mail aktualisiert"
"account.flashFavAdded","Favoriten-Domain hinzugefügt"
"account.flashFavRemoved","Favoriten-Domain entfernt"
"account.flashPasswordChanged","Passwort geändert"
"account.flashPasswordFields","Alle Passwortfelder ausfüllen"
"account.flashPasswordMismatch","Neue Passwörter stimmen nicht überein"
"account.flashPrefsUpdated","Einstellungen aktualisiert"
"account.flashProfileUpdated","Profil aktualisiert"
"account.flashSessionRevoked","Sitzung beendet"
"account.flashUsernameLocked","Benutzername kann nur einmal geändert werden"
"account.flashUsernameRequired","Benutzername ist erforderlich"
"account.guestDescription","Sie können die App ohne Anmeldung verwenden. Erstellen Sie ein Konto für Zugriff auf Profil, Sicherheit und Einstellungen."
"account.guestTitle","Gastbenutzer"
"account.logout","Abmelden"
"account.mail","E-Mail"
"account.noHistory","Noch kein Adressverlauf."
"account.noPassworded","Keine passwortgeschützten E-Mails."
"account.open","Öffnen"
"account.passwordedList","Alle passwortgeschützten E-Mails"
"account.passwordedListHint","Adressen, die mit Passwort geöffnet wurden"
"account.plan","Tarif"
"account.ready","Bereit"
"account.recentUsed","Zuletzt"
"account.recentUsedHint","Ihre zuletzt geöffneten Adressen"
"account.settings","Einstellungen"
"account.subtitle","Kurzer Status, Nutzung und letzte Aktivität"
"account.title","Kontozusammenfassung"
"account.usage","Nutzung"
"accountModal.accountNote","Kontonotiz"
"accountModal.active","Aktiv"
"accountModal.addressLimit","Adresslimit"
"accountModal.adminUnlimited","Administrator-Berechtigungen scheinen unbegrenzt."
"accountModal.allPasswordedEmails","Alle passwortgeschützten E-Mails"
"accountModal.allPasswordedEmpty","Keine passwortgeschützten E-Mails gefunden."
"accountModal.appearance","Darstellung"
"accountModal.billingUnit","Abrechnungseinheit"
"accountModal.changePassword","Passwort ändern"
"accountModal.changePasswordNote","Passwortänderungen werden über dieses Fenster verwaltet."
"accountModal.close","Schließen"
"accountModal.cooldownActive","Abkühlphase aktiv"
"accountModal.currentPassword","Aktuelles Passwort"
"accountModal.currentSession","Diese Sitzung"
"accountModal.defaultDomain","Standard-Domain"
"accountModal.displayName","Anzeigename"
"accountModal.editable","Bearbeitbar"
"accountModal.email","E-Mail"
"accountModal.emailChange","E-Mail-Änderung"
"accountModal.emailVerifyNote","E-Mail-Änderung erfordert einen Verifizierungscode."
"accountModal.expiring","Laufende Adressen"
"accountModal.expiringDesc","Erinnerung für Adressen erhalten, die bald geschlossen werden."
"accountModal.favoriteAddress","Favoriten-Adresse"
"accountModal.favoriteDomains","Favoriten-Domains"
"accountModal.generalSubtitle","Häufigste Einstellungen in diesem Popup schnell ändern."
"accountModal.generalTitle","Darstellung und Standards"
"accountModal.language","Sprache"
"accountModal.lastActive","Zuletzt aktiv"
"accountModal.limitsTitle","Nutzung und Tarif"
"accountModal.locked","Gesperrt"
"accountModal.loginFail","Fehlgeschlagen"
"accountModal.loginHistory","Anmeldeverlauf"
"accountModal.loginSuccess","Erfolg"
"accountModal.mailCount","E-Mail-Anzahl"
"accountModal.mailRetention","E-Mail-Aufbewahrungszeit"
"accountModal.newMail","Neue E-Mail-Benachrichtigungen"
"accountModal.newMailDesc","Mich benachrichtigen, wenn eine neue Nachricht eingeht."
"accountModal.newPassword","Neues Passwort"
"accountModal.newPasswordRepeat","Neues Passwort wiederholen"
"accountModal.noDomains","Keine Domains."
"accountModal.noLoginHistory","Kein Anmeldeverlauf gefunden."
"accountModal.noSessions","Keine aktiven Sitzungen gefunden."
"accountModal.notificationPrefs","Benachrichtigungseinstellungen"
"accountModal.notificationSound","Benachrichtigungston"
"accountModal.notifications","Benachrichtigungseinstellungen"
"accountModal.otp","OTP-Benachrichtigungen"
"accountModal.otpNotification","OTP-Benachrichtigungen"
"accountModal.otpNotificationDesc","Besondere Benachrichtigungen für Einmalcodes anzeigen."
"accountModal.packageLimits","Limits werden pro Paket angezeigt."
