key,ru
"account.accountArea","Область аккаунта"
"account.active","Активен"
"account.address","Адрес"
"account.confirmDeleteAddress","Удалить «{address}»?"
"account.confirmRevokeSession","Завершить эту сессию?"
"account.domain","Домен"
"account.flashAddressDeleted","Адрес удалён"
"account.flashAddressRenewed","Адрес продлён"
"account.flashAddressUpdated","Адрес обновлён"
"account.flashAvatarUpdated","Фото профиля обновлено"
"account.flashCodeReady","Код подтверждения готов"
"account.flashCodeRequired","Требуется код подтверждения"
"account.flashEmailRequired","Требуется эл. почта"
"account.flashEmailUnchanged","Эл. почта не изменилась"
"account.flashEmailUpdated","Эл. почта обновлена"
"account.flashFavAdded","Избранный домен добавлен"
"account.flashFavRemoved","Избранный домен удалён"
"account.flashPasswordChanged","Пароль изменён"
"account.flashPasswordFields","Заполните все поля пароля"
"account.flashPasswordMismatch","Новые пароли не совпадают"
"account.flashPrefsUpdated","Настройки обновлены"
"account.flashProfileUpdated","Профиль обновлён"
"account.flashSessionRevoked","Сессия завершена"
"account.flashUsernameLocked","Имя пользователя можно изменить только один раз"
"account.flashUsernameRequired","Требуется имя пользователя"
"account.guestDescription","Вы можете использовать приложение без входа. Создайте аккаунт для доступа к профилю, безопасности и настройкам."
"account.guestTitle","Гостевой пользователь"
"account.logout","Выйти"
"account.mail","Почта"
"account.noHistory","Истории адресов пока нет."
"account.noPassworded","Нет писем, защищённых паролем."
"account.open","Открыть"
"account.passwordedList","Все письма с паролем"
"account.passwordedListHint","Адреса, открытые с паролем"
"account.plan","Тариф"
"account.ready","Готов"
"account.recentUsed","Недавние"
"account.recentUsedHint","Ваши последние открытые адреса"
"account.settings","Настройки"
"account.subtitle","Краткий статус, использование и недавняя активность"
"account.title","Сводка по аккаунту"
"account.usage","Использование"
"accountModal.accountNote","Заметка аккаунта"
"accountModal.active","Активен"
"accountModal.addressLimit","Лимит адресов"
"accountModal.adminUnlimited","Права администратора кажутся неограниченными."
"accountModal.allPasswordedEmails","Все письма с паролем"
"accountModal.allPasswordedEmpty","Письем, защищённых паролем, не найдено."
"accountModal.appearance","Оформление"
"accountModal.billingUnit","Единица биллинга"
"accountModal.changePassword","Сменить пароль"
"accountModal.changePasswordNote","Смена пароля выполняется из этого окна."
"accountModal.close","Закрыть"
"accountModal.cooldownActive","Перезарядка активна"
"accountModal.currentPassword","Текущий пароль"
"accountModal.currentSession","Эта сессия"
"accountModal.defaultDomain","Домен по умолчанию"
"accountModal.displayName","Отображаемое имя"
"accountModal.editable","Редактируемый"
"accountModal.email","Эл. почта"
"accountModal.emailChange","Смена эл. почты"
"accountModal.emailVerifyNote","Смена эл. почты требует кода подтверждения."
"accountModal.expiring","Истекающие адреса"
"accountModal.expiringDesc","Получать напоминание об адресах, которые скоро закроются."
