key,en
"account.accountArea","Account Area"
"account.active","Active"
"account.address","Address"
"account.confirmDeleteAddress","Delete ""{address}""?"
"account.confirmRevokeSession","End this session?"
"account.domain","Domain"
"account.flashAddressDeleted","Address deleted"
"account.flashAddressRenewed","Address renewed"
"account.flashAddressUpdated","Address updated"
"account.flashAvatarUpdated","Profile photo updated"
"account.flashCodeReady","Verification code ready"
"account.flashCodeRequired","Verification code required"
"account.flashEmailRequired","Email required"
"account.flashEmailUnchanged","Email unchanged"
"account.flashEmailUpdated","Email updated"
"account.flashFavAdded","Favorite domain added"
"account.flashFavRemoved","Favorite domain removed"
"account.flashPasswordChanged","Password changed"
"account.flashPasswordFields","Fill in all password fields"
"account.flashPasswordMismatch","New passwords do not match"
"account.flashPrefsUpdated","Preferences updated"
"account.flashProfileUpdated","Profile updated"
"account.flashSessionRevoked","Session ended"
"account.flashUsernameLocked","Username can only be changed once"
"account.flashUsernameRequired","Username is required"
"account.guestDescription","You can use the app without signing in. Create an account to access profile, security and preferences."
"account.guestTitle","Guest User"
"account.logout","Logout"
"account.mail","Mail"
"account.noHistory","No address history yet."
"account.noPassworded","No password-protected emails."
"account.open","Open"
"account.passwordedList","All Passworded Emails"
"account.passwordedListHint","Addresses opened with a password"
"account.plan","Plan"
"account.ready","Ready"
"account.recentUsed","Recent"
"account.recentUsedHint","Your latest opened addresses"
"account.settings","Settings"
"account.subtitle","Quick status, usage and recent activity"
"account.title","Account Summary"
"account.usage","Usage"
"accountModal.accountNote","Account note"
"accountModal.active","Active"
"accountModal.addressLimit","Address limit"
"accountModal.adminUnlimited","Admin permissions appear unlimited."
"accountModal.allPasswordedEmails","All Passworded Emails"
"accountModal.allPasswordedEmpty","No password-protected emails found."
"accountModal.appearance","Appearance"
"accountModal.billingUnit","Billing unit"
"accountModal.changePassword","Change password"
"accountModal.changePasswordNote","Password changes are handled from this window."
"accountModal.close","Close"
"accountModal.cooldownActive","Cooldown active"
"accountModal.currentPassword","Current password"
"accountModal.currentSession","This session"
"accountModal.defaultDomain","Default domain"
"accountModal.displayName","Display name"
"accountModal.editable","Editable"
"accountModal.email","Email"
"accountModal.emailChange","Email change"
"accountModal.emailVerifyNote","Email change requires a verification code."
"accountModal.expiring","Expiring addresses"
"accountModal.expiringDesc","Get a reminder for addresses about to close."
"accountModal.favoriteAddress","Favorite address"
"accountModal.favoriteDomains","Favorite domains"
"accountModal.generalSubtitle","Quickly change the most used settings in this popup."
