key,es
"account.accountArea","Área de cuenta"
"account.active","Activo"
"account.address","Dirección"
"account.confirmDeleteAddress","¿Eliminar ""{address}""?"
"account.confirmRevokeSession","¿Finalizar esta sesión?"
"account.domain","Dominio"
"account.flashAddressDeleted","Dirección eliminada"
"account.flashAddressRenewed","Dirección renovada"
"account.flashAddressUpdated","Dirección actualizada"
"account.flashAvatarUpdated","Foto de perfil actualizada"
"account.flashCodeReady","Código de verificación listo"
"account.flashCodeRequired","Código de verificación requerido"
"account.flashEmailRequired","Correo requerido"
"account.flashEmailUnchanged","Correo sin cambios"
"account.flashEmailUpdated","Correo actualizado"
"account.flashFavAdded","Dominio favorito añadido"
"account.flashFavRemoved","Dominio favorito eliminado"
"account.flashPasswordChanged","Contraseña cambiada"
"account.flashPasswordFields","Complete todos los campos de contraseña"
"account.flashPasswordMismatch","Las contraseñas nuevas no coinciden"
"account.flashPrefsUpdated","Preferencias actualizadas"
"account.flashProfileUpdated","Perfil actualizado"
"account.flashSessionRevoked","Sesión finalizada"
"account.flashUsernameLocked","El nombre de usuario solo se puede cambiar una vez"
"account.flashUsernameRequired","El nombre de usuario es obligatorio"
"account.guestDescription","Puedes usar la aplicación sin iniciar sesión. Crea una cuenta para acceder al perfil, la seguridad y las preferencias."
"account.guestTitle","Usuario invitado"
"account.logout","Cerrar sesión"
"account.mail","Correo"
"account.noHistory","Aún no hay historial de direcciones."
"account.noPassworded","No hay correos protegidos con contraseña."
"account.open","Abrir"
"account.passwordedList","Todos los correos con contraseña"
"account.passwordedListHint","Direcciones abiertas con una contraseña"
"account.plan","Plan"
"account.ready","Listo"
"account.recentUsed","Recientes"
"account.recentUsedHint","Tus últimas direcciones abiertas"
"account.settings","Ajustes"
"account.subtitle","Estado rápido, uso y actividad reciente"
"account.title","Resumen de cuenta"
"account.usage","Uso"
"accountModal.accountNote","Nota de cuenta"
"accountModal.active","Activo"
"accountModal.addressLimit","Límite de direcciones"
"accountModal.adminUnlimited","Los permisos de administrador parecen ilimitados."
"accountModal.allPasswordedEmails","Todos los correos con contraseña"
"accountModal.allPasswordedEmpty","No se encontraron correos protegidos con contraseña."
"accountModal.appearance","Apariencia"
"accountModal.billingUnit","Unidad de facturación"
"accountModal.changePassword","Cambiar contraseña"
"accountModal.changePasswordNote","Los cambios de contraseña se gestionan desde esta ventana."
"accountModal.close","Cerrar"
"accountModal.cooldownActive","Enfriamiento activo"
"accountModal.currentPassword","Contraseña actual"
"accountModal.currentSession","Esta sesión"
"accountModal.defaultDomain","Dominio predeterminado"
"accountModal.displayName","Nombre para mostrar"
"accountModal.editable","Editable"
"accountModal.email","Correo"
"accountModal.emailChange","Cambio de correo"
"accountModal.emailVerifyNote","El cambio de correo requiere un código de verificación."
"accountModal.expiring","Direcciones por caducar"
"accountModal.expiringDesc","Recibe un recordatorio para direcciones a punto de cerrarse."
"accountModal.favoriteAddress","Dirección favorita"
"accountModal.favoriteDomains","Dominios favoritos"
"accountModal.generalSubtitle","Cambia rápidamente los ajustes más usados en esta ventana."
"accountModal.generalTitle","Apariencia y valores predeterminados"
"accountModal.language","Idioma"
"accountModal.lastActive","Última actividad"
"accountModal.limitsTitle","Uso y plan"
"accountModal.locked","Bloqueado"
"accountModal.loginFail","Fallido"
"accountModal.loginHistory","Historial de inicio de sesión"
"accountModal.loginSuccess","Éxito"
"accountModal.mailCount","Cantidad de correos"
"accountModal.mailRetention","Periodo de retención de correo"
"accountModal.newMail","Alertas de correo nuevo"
"accountModal.newMailDesc","Notifícame cuando llegue un mensaje nuevo."
"accountModal.newPassword","Contraseña nueva"
"accountModal.newPasswordRepeat","Repetir contraseña nueva"
"accountModal.noDomains","Sin dominios."
"accountModal.noLoginHistory","No se encontró historial de inicio de sesión."
"accountModal.noSessions","No se encontraron sesiones activas."
"accountModal.notificationPrefs","Preferencias de notificaciones"
"accountModal.notificationSound","Sonido de notificación"
"accountModal.notifications","Preferencias de notificaciones"
"accountModal.otp","Alertas OTP"
"accountModal.otpNotification","Alertas OTP"
"accountModal.otpNotificationDesc","Mostrar alertas especiales para códigos de un solo uso."
"accountModal.packageLimits","Los límites se muestran por paquete."
"accountModal.pendingEmail","Correo pendiente"
"accountModal.planTitle","Plan"
"accountModal.preview","Vista previa"
"accountModal.profilePhoto","Subir foto"
"accountModal.profileSave","Guardar perfil"
"accountModal.profileTitle","Detalles de cuenta"
"accountModal.quickSave","Guardar"
"accountModal.quickStatus","Estado rápido"
"accountModal.quotaUsed","cuota de direcciones usada"
"accountModal.ready","Listo"
"accountModal.refresh","Actualizar"
"accountModal.reset","Restablecer"
"accountModal.retention","Retención de correo"
"accountModal.retentionAndSound","Retención y sonido"
"accountModal.securityAlerts","Alertas de seguridad"
"accountModal.securityAlertsDesc","Notifícame sobre inicios de sesión sospechosos."
"accountModal.securityStatus","Estado de seguridad"
"accountModal.selectOption","Seleccionar"
"accountModal.sessionsCloseNote","pestaña para cerrar inicios de sesión."
"accountModal.sessionsHint","Puedes cerrar dispositivos abiertos aquí."
"accountModal.sessionsTitle","Sesiones activas"
"accountModal.statAddress","Dirección"
"accountModal.statFavoriteDomain","Dominio favorito"
"accountModal.statMail","Correo"
"accountModal.subtitle","Centro de edición"
"accountModal.suspicious","Sospechoso"
"accountModal.tabs.general","General"
"accountModal.tabs.preferences","Preferencias"
"accountModal.tabs.profile","Perfil"
"accountModal.tabs.security","Seguridad"
"accountModal.tabs.sessions","Sesiones"
"accountModal.tabs.usage","Uso"
"accountModal.tabsSubtitle.general","Apariencia y ajustes principales"
"accountModal.tabsSubtitle.preferences","Notificaciones y dominios"
"accountModal.tabsSubtitle.profile","Nombre, correo y foto"
"accountModal.tabsSubtitle.security","Contraseña y protección de cuenta"
"accountModal.tabsSubtitle.sessions","Dispositivos e inicios de sesión"
"accountModal.tabsSubtitle.usage","Plan e información de cuota"
"accountModal.themeDark","Oscuro"
"accountModal.themeLight","Claro"
"accountModal.themeSystem","Sistema"
"accountModal.tipBody","Puedes cambiar de pestaña sin guardar. Las secciones de perfil y seguridad funcionan directamente en esta ventana."
"accountModal.tipTitle","Consejo"
"accountModal.title","Ajustes de cuenta"
"accountModal.updatePassword","Actualizar contraseña"
"accountModal.upgradeLimit","Ampliar límite"
"accountModal.upgradeable","Ampliable"
"accountModal.used","Usado"
"accountModal.usedDomain","Dominios usados"
"accountModal.username","Nombre de usuario"
"accountModal.usernameOnce","Se puede usar una vez"
"accountModal.usernameRight","Nombre de usuario correcto"
"addressBar.activeBadge","Activo"
"addressBar.activeProtected","La dirección está activa y protegida con contraseña"
"addressBar.activeReady","La dirección está activa y lista para usar"
"addressBar.chooseDomain","Elegir dominio"
"addressBar.confirmRandomSubtitle","Esto creará una dirección nueva y la actual no se conservará."
"addressBar.confirmRandomTitle","¿Generar una dirección aleatoria?"
"addressBar.confirmRefreshSubtitle","Se creará una dirección nueva y tu dirección actual será reemplazada."
"addressBar.confirmRefreshTitle","¿Actualizar esta dirección?"
"addressBar.copied","Copiado"
"addressBar.copy","Copiar"
"addressBar.domainsLoadError","No se pudo cargar la lista de dominios. Actualiza la página o inténtalo de nuevo más tarde."
"addressBar.hoursAgo","{n}h"
"addressBar.justNow","justo ahora"
"addressBar.loadingAction","Preparando..."
"addressBar.mainDomain","Dominio principal"
"addressBar.minutesAgo","{n}m"
"addressBar.noDomain","Aún no hay dominios"
"addressBar.noDomainsHint","Aún no se han añadido dominios. Añade uno en el panel de administrador."
"addressBar.noHistory","Aún no hay historial de direcciones."
"addressBar.noPassworded","No hay direcciones protegidas con contraseña."
"addressBar.noSubdomains","Aún no se han añadido subdominios"
"addressBar.openAddress","Abrir dirección"
"addressBar.passwordedBadge","Con contraseña"
"addressBar.passwordedList","Todos los correos con contraseña"
"addressBar.protect","Proteger"
"addressBar.random","Aleatorio"
"addressBar.recentHint","Tus últimas direcciones abiertas"
"addressBar.recentUsed","Recientes"
"addressBar.refresh","Actualizar"
"addressBar.safeSubtitle","Los correos se reciben de forma anónima y cifrada."
"addressBar.safeTitle","Listo y seguro"
"addressBar.selected","Seleccionado"
"addressBar.subtitle","Tu dirección se activa al instante y los mensajes llegan a la bandeja de abajo."
"addressBar.title","Tu dirección de correo temporal"
"admin.actions.addDomain","Añadir dominio"
