key,pt
"account.accountArea","Área da conta"
"account.active","Ativo"
"account.address","Endereço"
"account.confirmDeleteAddress","Excluir ""{address}""?"
"account.confirmRevokeSession","Encerrar esta sessão?"
"account.domain","Domínio"
"account.flashAddressDeleted","Endereço excluído"
"account.flashAddressRenewed","Endereço renovado"
"account.flashAddressUpdated","Endereço atualizado"
"account.flashAvatarUpdated","Foto de perfil atualizada"
"account.flashCodeReady","Código de verificação pronto"
"account.flashCodeRequired","Código de verificação obrigatório"
"account.flashEmailRequired","E-mail obrigatório"
"account.flashEmailUnchanged","E-mail inalterado"
"account.flashEmailUpdated","E-mail atualizado"
"account.flashFavAdded","Domínio favorito adicionado"
"account.flashFavRemoved","Domínio favorito removido"
"account.flashPasswordChanged","Senha alterada"
"account.flashPasswordFields","Preencha todos os campos de senha"
"account.flashPasswordMismatch","As novas senhas não coincidem"
"account.flashPrefsUpdated","Preferências atualizadas"
"account.flashProfileUpdated","Perfil atualizado"
"account.flashSessionRevoked","Sessão encerrada"
"account.flashUsernameLocked","O nome de usuário só pode ser alterado uma vez"
"account.flashUsernameRequired","Nome de usuário é obrigatório"
"account.guestDescription","Você pode usar o aplicativo sem entrar. Crie uma conta para acessar perfil, segurança e preferências."
"account.guestTitle","Usuário convidado"
"account.logout","Sair"
"account.mail","Correio"
"account.noHistory","Sem histórico de endereços ainda."
"account.noPassworded","Sem e-mails protegidos por senha."
"account.open","Abrir"
"account.passwordedList","Todos os e-mails com senha"
"account.passwordedListHint","Endereços abertos com uma senha"
"account.plan","Plano"
"account.ready","Pronto"
"account.recentUsed","Recentes"
"account.recentUsedHint","Seus endereços abertos mais recentes"
"account.settings","Configurações"
"account.subtitle","Status rápido, uso e atividade recente"
"account.title","Resumo da conta"
"account.usage","Uso"
"accountModal.accountNote","Nota da conta"
"accountModal.active","Ativo"
"accountModal.addressLimit","Limite de endereços"
"accountModal.adminUnlimited","Permissões de administrador parecem ilimitadas."
"accountModal.allPasswordedEmails","Todos os e-mails com senha"
"accountModal.allPasswordedEmpty","Nenhum e-mail protegido por senha encontrado."
"accountModal.appearance","Aparência"
"accountModal.billingUnit","Unidade de cobrança"
"accountModal.changePassword","Alterar senha"
"accountModal.changePasswordNote","Alterações de senha são feitas nesta janela."
"accountModal.close","Fechar"
"accountModal.cooldownActive","Recarga ativa"
"accountModal.currentPassword","Senha atual"
"accountModal.currentSession","Esta sessão"
"accountModal.defaultDomain","Domínio padrão"
"accountModal.displayName","Nome de exibição"
"accountModal.editable","Editável"
"accountModal.email","E-mail"
"accountModal.emailChange","Alteração de e-mail"
"accountModal.emailVerifyNote","A alteração de e-mail exige um código de verificação."
"accountModal.expiring","Endereços expirando"
"accountModal.expiringDesc","Receba um lembrete para endereços prestes a fechar."
"accountModal.favoriteAddress","Endereço favorito"
"accountModal.favoriteDomains","Domínios favoritos"
"accountModal.generalSubtitle","Altere rapidamente as configurações mais usadas neste pop-up."
"accountModal.generalTitle","Aparência e padrões"
"accountModal.language","Idioma"
"accountModal.lastActive","Última atividade"
"accountModal.limitsTitle","Uso e plano"
"accountModal.locked","Bloqueado"
"accountModal.loginFail","Falhou"
"accountModal.loginHistory","Histórico de login"
"accountModal.loginSuccess","Sucesso"
"accountModal.mailCount","Contagem de e-mails"
"accountModal.mailRetention","Período de retenção de e-mails"
"accountModal.newMail","Alertas de novo e-mail"
"accountModal.newMailDesc","Notifique-me quando uma nova mensagem chegar."
"accountModal.newPassword","Nova senha"
"accountModal.newPasswordRepeat","Repita a nova senha"
"accountModal.noDomains","Sem domínios."
"accountModal.noLoginHistory","Nenhum histórico de login encontrado."
"accountModal.noSessions","Nenhuma sessão ativa encontrada."
"accountModal.notificationPrefs","Preferências de notificação"
"accountModal.notificationSound","Som de notificação"
"accountModal.notifications","Preferências de notificação"
"accountModal.otp","Alertas OTP"
"accountModal.otpNotification","Alertas OTP"
"accountModal.otpNotificationDesc","Mostrar alertas especiais para códigos de uso único."
"accountModal.packageLimits","Os limites são exibidos por pacote."
"accountModal.pendingEmail","E-mail pendente"
"accountModal.planTitle","Plano"
"accountModal.preview","Pré-visualização"
"accountModal.profilePhoto","Enviar foto"
"accountModal.profileSave","Salvar perfil"
"accountModal.profileTitle","Detalhes da conta"
"accountModal.quickSave","Salvar"
"accountModal.quickStatus","Status rápido"
"accountModal.quotaUsed","cota de endereços usada"
"accountModal.ready","Pronto"
"accountModal.refresh","Atualizar"
"accountModal.reset","Redefinir"
"accountModal.retention","Retenção de e-mails"
"accountModal.retentionAndSound","Retenção e som"
"accountModal.securityAlerts","Alertas de segurança"
"accountModal.securityAlertsDesc","Notifique-me sobre acessos suspeitos."
"accountModal.securityStatus","Status de segurança"
"accountModal.selectOption","Selecionar"
"accountModal.sessionsCloseNote","aba para encerrar acessos."
"accountModal.sessionsHint","Você pode fechar dispositivos abertos aqui."
"accountModal.sessionsTitle","Sessões ativas"
"accountModal.statAddress","Endereço"
"accountModal.statFavoriteDomain","Domínio favorito"
"accountModal.statMail","Correio"
"accountModal.subtitle","Central de edição"
"accountModal.suspicious","Suspeito"
"accountModal.tabs.general","Geral"
"accountModal.tabs.preferences","Preferências"
"accountModal.tabs.profile","Perfil"
"accountModal.tabs.security","Segurança"
"accountModal.tabs.sessions","Sessões"
"accountModal.tabs.usage","Uso"
"accountModal.tabsSubtitle.general","Aparência e configurações principais"
"accountModal.tabsSubtitle.preferences","Notificações e domínios"
"accountModal.tabsSubtitle.profile","Nome, e-mail e foto"
"accountModal.tabsSubtitle.security","Senha e proteção da conta"
"accountModal.tabsSubtitle.sessions","Dispositivos e logins"
"accountModal.tabsSubtitle.usage","Plano e informações de cota"
"accountModal.themeDark","Escuro"
"accountModal.themeLight","Claro"
"accountModal.themeSystem","Sistema"
"accountModal.tipBody","Você pode trocar de aba sem salvar. As seções de perfil e segurança funcionam diretamente nesta janela."
"accountModal.tipTitle","Dica"
"accountModal.title","Configurações da conta"
"accountModal.updatePassword","Atualizar senha"
"accountModal.upgradeLimit","Aumentar limite"
"accountModal.upgradeable","Atualizável"
"accountModal.used","Usado"
"accountModal.usedDomain","Domínios usados"
"accountModal.username","Nome de usuário"
"accountModal.usernameOnce","Pode ser usado uma vez"
"accountModal.usernameRight","Direito de nome de usuário"
"addressBar.activeBadge","Ativo"
"addressBar.activeProtected","O endereço está ativo e protegido por senha"
"addressBar.activeReady","O endereço está ativo e pronto para uso"
"addressBar.chooseDomain","Escolher domínio"
"addressBar.confirmRandomSubtitle","Isso criará um novo endereço e o atual não será mantido."
"addressBar.confirmRandomTitle","Gerar um endereço aleatório?"
"addressBar.confirmRefreshSubtitle","Um novo endereço será criado e seu endereço atual será substituído."
"addressBar.confirmRefreshTitle","Atualizar este endereço?"
"addressBar.copied","Copiado"
"addressBar.copy","Copiar"
"addressBar.domainsLoadError","Não foi possível carregar a lista de domínios. Atualize a página ou tente novamente mais tarde."
"addressBar.hoursAgo","{n}h"
"addressBar.justNow","agora mesmo"
"addressBar.loadingAction","Preparando..."
"addressBar.mainDomain","Domínio principal"
"addressBar.minutesAgo","{n}m"
"addressBar.noDomain","Sem domínios ainda"
"addressBar.noDomainsHint","Nenhum domínio foi adicionado ainda. Adicione um no painel administrativo."
"addressBar.noHistory","Sem histórico de endereços ainda."
"addressBar.noPassworded","Sem endereços protegidos por senha."
"addressBar.noSubdomains","Nenhum subdomínio adicionado ainda"
"addressBar.openAddress","Abrir endereço"
"addressBar.passwordedBadge","Com senha"
"addressBar.passwordedList","Todos os e-mails com senha"
"addressBar.protect","Proteger"
"addressBar.random","Aleatório"
"addressBar.recentHint","Seus endereços abertos mais recentes"
"addressBar.recentUsed","Recentes"
"addressBar.refresh","Atualizar"
"addressBar.safeSubtitle","Os e-mails são recebidos de forma anônima e criptografada."
"addressBar.safeTitle","Pronto e seguro"
"addressBar.selected","Selecionado"
"addressBar.subtitle","Seu endereço fica ativo instantaneamente e as mensagens chegam na caixa de entrada abaixo."
"addressBar.title","Seu endereço de e-mail temporário"
"admin.actions.addDomain","Adicionar domínio"
"admin.actions.cleanup","Limpeza"
"admin.actions.export","Exportar"
"admin.activity.addressCreated","Endereço criado"
"admin.activity.domainActive","Domínio ativo"
"admin.activity.domainInactive","Domínio inativo"
"admin.activity.requestApproved","Solicitação aprovada"
"admin.activity.requestPending","Solicitação pendente"
"admin.activity.requestRejected","Solicitação rejeitada"
"admin.common.active","Ativo"
"admin.common.attachment","Anexo"
"admin.common.closed","Fechado"
"admin.common.copy","Copiar"
"admin.common.copyOtp","Copiar OTP"
"admin.common.htmlContent","(Conteúdo HTML)"
"admin.common.no","Não"
"admin.common.noSubject","(Sem assunto)"
"admin.common.open","Abrir"
"admin.common.waiting","Aguardando"
"admin.common.yes","Sim"
"admin.confirm.cleanupAddress","Limpar histórico de e-mails de {address}?"
"admin.confirm.cleanupAll","Limpar todos os dados expirados?"
"admin.confirm.deleteAddress","Excluir permanentemente {address}?"
"admin.confirm.deleteDomain","Excluir {name}?"
"admin.confirm.deleteMail","Excluir este e-mail?"
"admin.confirm.deleteSubdomain","Excluir subdomínio {name}?"
"admin.detail.addressId","ID do endereço"
"admin.detail.attachmentMails","E-mails com anexos"
"admin.detail.autoCleanup","Limpeza automática"
"admin.detail.back","Voltar"
"admin.detail.clearHistory","Limpar histórico"
"admin.detail.clearMailHistory","Limpar histórico de e-mails"
"admin.detail.copyAddress","Copiar endereço"
"admin.detail.created","Criado"
"admin.detail.currentStatus","Status atual"
"admin.detail.deleteAddress","Excluir endereço"
"admin.detail.detectedVerification","Verificação detectada"
"admin.detail.emptyMailboxSubtitle","Nenhum e-mail recebido neste endereço ainda."
"admin.detail.emptyMailboxTitle","Caixa de correio vazia"
"admin.detail.generalInfo","Informações gerais"
"admin.detail.incomingContent","Conteúdo recebido"
"admin.detail.incomingMails","E-mails recebidos"
"admin.detail.ipSession","IP / sessão"
"admin.detail.lastAccess","Último acesso"
"admin.detail.lastActivity","Última atividade"
"admin.detail.linkedDomain","Domínio vinculado"
"admin.detail.noOtpSubtitle","Nenhum OTP detectado nos e-mails deste endereço ainda."
"admin.detail.noOtpTitle","Sem registros de OTP"
"admin.detail.notTracked","Não rastreado"
"admin.detail.openAccess","Acesso aberto"
"admin.detail.otpCodes","Códigos OTP"
"admin.detail.otpCount","Contagem de OTP"
"admin.detail.otpHistory","Histórico de OTP"
"admin.detail.passwordProtected","Protegido por senha"
"admin.detail.passwordProtection","Proteção por senha"
"admin.detail.retention","Retenção"
"admin.detail.retentionPeriod","Período de retenção"
"admin.detail.securityActions","Segurança e ações"
"admin.detail.selectMailSubtitle","Clique no ícone de olho na tabela para ver os detalhes."
"admin.detail.selectMailTitle","Selecione um e-mail"
"admin.detail.statistics","Estatísticas"
"admin.detail.status","Status"
"admin.detail.subtitle","Auditoria e histórico da caixa de correio"
"admin.detail.totalOtpRecords","Total de registros OTP"
"admin.detail.username","Nome de usuário"
"admin.dns.noteA","O registro A aponta o hostname para o IP do servidor"
"admin.dns.noteDkim","Chave de assinatura DKIM"
"admin.dns.noteDmarc","Política DMARC"
"admin.dns.noteMx","O registro MX roteia o tráfego de e-mail para este hostname"
"admin.dns.noteSpf","O SPF autoriza o servidor de envio"
"admin.dns.noteVerification","Verificação de propriedade do domínio"
"admin.errors.authRequired","Acesso de administrador obrigatório"
"admin.errors.endpointMissing","Endpoint não encontrado"
"admin.errors.ipRequired","Insira um IP válido"
"admin.errors.mailDetailFailed","Não foi possível carregar os detalhes do e-mail"
"admin.errors.requestFailed","Falha na solicitação"
"admin.flash.addressCleaned","Histórico do endereço limpo"
"admin.flash.addressDeleted","Endereço excluído"
"admin.flash.allDnsCopied","Todos os valores DNS copiados"
"admin.flash.bulkDisabled","Acesso em massa desativado"
"admin.flash.bulkEnabled","Acesso em massa ativado"
"admin.flash.cleanupDone","Limpeza concluída"
"admin.flash.copied","Copiado"
"admin.flash.copyFailed","Falha ao copiar"
"admin.flash.dnsRefreshed","Verificação DNS atualizada"
"admin.flash.domainActivated","Domínio ativado"
"admin.flash.domainAdded","""{domain}"" adicionado"
"admin.flash.domainAddedWildcard"," (curinga ativo)"
"admin.flash.domainDeactivated","Domínio desativado"
"admin.flash.domainDeleted","""{name}"" excluído"
"admin.flash.domainUpdated","Domínio atualizado"
"admin.flash.exported","Exportação baixada"
"admin.flash.loginSuccess","Login de administrador bem-sucedido"
"admin.flash.mailDeleted","E-mail excluído"
"admin.flash.packageUpdated","Pacote atualizado"
"admin.flash.recordCopied","{title} copiado"
"admin.flash.requestApproved","Solicitação aprovada"
"admin.flash.requestRejected","Solicitação rejeitada"
"admin.flash.roleUpdated","Função atualizada"
"admin.flash.subdomainAdded","Subdomínio ""{domain}"" adicionado"
"admin.flash.subdomainDeleted","Subdomínio ""{name}"" excluído"
"admin.flash.userActivated","Usuário ativado"
"admin.flash.userDeactivated","Usuário desativado"
"admin.hero.eyebrow","Centro de controle"
"admin.hero.subtitle","Gerenciamento do sistema MS Temp Mail, estatísticas ao vivo e fluxos de operação."
"admin.hero.title","Painel administrativo"
"admin.login.defaultPassword","Padrão:"
"admin.login.loading","Verificando..."
"admin.login.passwordLabel","Senha de administrador"
"admin.login.submit","Entrar"
"admin.login.subtitle","Continue com credenciais de administrador"
"admin.login.title","Painel administrativo"
"admin.mix.attachment","Anexado"
"admin.mix.normal","Normal"
"admin.stats.activeDomains","Domínios ativos"
"admin.stats.allTime","Todo o período"
"admin.stats.last24h","Últimas 24 horas"
"admin.stats.newMessages","Novos e-mails recebidos"
"admin.stats.protectedCount","Com senha: {count}"
"admin.stats.totalAddresses","Total de endereços"
"admin.stats.totalDomains","Total: {count}"
"admin.stats.totalMail","Total de e-mails"
"admin.system.activeDomains","Domínios ativos"
"admin.system.adminSession","Sessão de administrador"
"admin.system.cleanupPolicy","Política de limpeza"
"admin.system.cleanupPolicyValue","Automático + manual"
"admin.system.protectedMailbox","Caixas protegidas"
"admin.system.smtpFlow","Fluxo SMTP"
"admin.table.action","Ação"
"admin.table.date","Data"
"admin.table.sender","Remetente"
"admin.table.subject","Assunto"
"admin.table.tag","Etiqueta"
"admin.tabs.addresses","Endereços"
"admin.tabs.bulk","Pools em massa"
"admin.tabs.dashboard","Painel"
"admin.tabs.domains","Domínios"
"admin.tabs.emails","E-mails"
"admin.tabs.requests","Solicitações"
"admin.tabs.settings","Configurações"
"admin.tabs.users","Usuários"
"admin.ui.addr.active","Endereços ativos"
